指标名,字段类型,单位,标签,描述
"gen_ai_agent_operation_count","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,__temporality,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_operation_duration_bucket","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,unit,le,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_operation_duration_count","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_operation_duration_max","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_operation_duration_min","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_operation_duration_sum","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_request_count","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,__temporality,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_request_duration_bucket","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,unit,le,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_request_duration_count","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_request_duration_max","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_request_duration_min","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_request_duration_sum","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_session_token_input","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,session_namespace,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,session_channel,host_id,provider_name,session_scope,__temporality,host_name,agent_id,process_owner,session_agent,session_key,agent_name,service_name",""
"gen_ai_agent_session_token_output","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,session_namespace,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,session_channel,host_id,provider_name,session_scope,__temporality,host_name,agent_id,process_owner,session_agent,session_key,agent_name,service_name",""
"gen_ai_agent_session_token_total","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,session_namespace,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,session_channel,host_id,provider_name,session_scope,__temporality,host_name,agent_id,process_owner,session_agent,session_key,agent_name,service_name",""
"gen_ai_agent_session_token_usage","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,session_namespace,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,session_channel,host_id,provider_name,session_scope,__temporality,host_name,agent_id,process_owner,session_agent,session_key,agent_name,service_name",""
